member,member_index,resolution,predictor,value
Loc(8),3,2,P7_distinct,100000.0
Loc(8),3,2,P7_samples,100000.0
Loc(8),3,2,P8,1.0000000000000062
Loc(8),3,2,P8_min,1.000000000000006
Loc(8),3,4,P1(a=0),64.0
Loc(8),3,4,P1(a=1),63.999999999999986
Loc(8),3,4,P1(a=2),64.0
Loc(8),3,4,P2,64.0
Loc(8),3,4,P2_mean,64.0
Loc(8),3,4,P3,0.49999999999999956
Loc(8),3,4,P4,0.9999999999999998
Loc(8),3,4,P4_method,solved
Loc(8),3,4,P4-int,64.0
Loc(8),3,4,P5_outdeg,5.0
Loc(8),3,4,P5_persist,0.23529411764705885
Loc(8),3,4,P6,164.7185752883509
Loc(8),3,4,P7(1),100000.00000000001
Loc(8),3,4,P7(2),inf
Loc(8),3,4,P7_method,mc-saturated
Loc(8),3,4,P7_distinct,100000.0
Loc(8),3,4,P7_samples,100000.0
Loc(8),3,4,P8,1.0000000000000058
Loc(8),3,4,P8_min,1.0000000000000058
Loc(8),3,8,P1(a=0),32.0
Loc(8),3,8,P1(a=1),32.0
Loc(8),3,8,P1(a=2),32.0
Loc(8),3,8,P2,32.0
Loc(8),3,8,P2_mean,32.0
Loc(8),3,8,P3,0.49999999999999956
Loc(8),3,8,P4,1.0
Loc(8),3,8,P4_method,solved
Loc(8),3,8,P4-int,32.0
Loc(8),3,8,P5_outdeg,3.0
Loc(8),3,8,P5_persist,0.4705882352941177
Loc(8),3,8,P6,154.07101139977345
Loc(8),3,8,P7(1),100000.00000000001
Loc(8),3,8,P7(2),inf
Loc(8),3,8,P7_method,mc-saturated
Loc(8),3,8,P7_distinct,100000.0
Loc(8),3,8,P7_samples,100000.0
Loc(8),3,8,P8,1.0000000000000062
Loc(8),3,8,P8_min,1.000000000000006
Loc(8),3,16,P1(a=0),16.0
Loc(8),3,16,P1(a=1),15.999999999999996
Loc(8),3,16,P1(a=2),16.0
Loc(8),3,16,P2,16.0
Loc(8),3,16,P2_mean,16.0
Loc(8),3,16,P3,0.49999999999999956
Loc(8),3,16,P4,1.0
Loc(8),3,16,P4_method,solved
Loc(8),3,16,P4-int,16.0
Loc(8),3,16,P5_outdeg,3.0
Loc(8),3,16,P5_persist,0.7352941176470589
Loc(8),3,16,P6,128.71595465768388
Loc(8),3,16,P7(1),92756.09151105185
Loc(8),3,16,P7(2),837933.6349924585
Loc(8),3,16,P7_method,mc
Loc(8),3,16,P7_distinct,94871.0
Loc(8),3,16,P7_samples,100000.0
Loc(8),3,16,P8,1.0000000000000062
Loc(8),3,16,P8_min,1.000000000000006
Loc(16),4,1,P1(a=0),256.0
Loc(16),4,1,P1(a=1),255.99999999999994
Loc(16),4,1,P1(a=2),256.0
Loc(16),4,1,P2,256.0
Loc(16),4,1,P2_mean,256.0
Loc(16),4,1,P3,0.5000000000000014
Loc(16),4,1,P4,nan
Loc(16),4,1,P4_method,not-solved
Loc(16),4,1,P4-int,256.0
Loc(16),4,1,P5_outdeg,33.0
Loc(16),4,1,P5_persist,0.03030303030303029
Loc(16),4,1,P6,131.1148725128371
Loc(16),4,1,P7(1),3.5232810834222786e+96
Loc(16),4,1,P7(2),2.5379492522852742e+92
Loc(16),4,1,P7_method,closed
Loc(16),4,1,P7_se,0.0
Loc(16),4,1,P8,1.0000000000000036
Loc(16),4,1,P8_min,1.0000000000000036
Loc(16),4,2,P1(a=0),128.0
Loc(16),4,2,P1(a=1),127.99999999999997
Loc(16),4,2,P1(a=2),128.0
Loc(16),4,2,P2,128.0
Loc(16),4,2,P2_mean,128.0
Loc(16),4,2,P3,0.5000000000000014
Loc(16),4,2,P4,nan
Loc(16),4,2,P4_method,not-solved
Loc(16),4,2,P4-int,128.0
Loc(16),4,2,P5_outdeg,17.0
Loc(16),4,2,P5_persist,0.06060606060606058
Loc(16),4,2,P6,129.44108590948133
Loc(16),4,2,P7(1),100000.00000000001
Loc(16),4,2,P7(2),inf
Loc(16),4,2,P7_method,mc-saturated
Loc(16),4,2,P7_distinct,100000.0
Loc(16),4,2,P7_samples,100000.0
Loc(16),4,2,P8,1.0000000000000036
Loc(16),4,2,P8_min,1.0000000000000036
Loc(16),4,4,P1(a=0),64.0
Loc(16),4,4,P1(a=1),63.999999999999986
Loc(16),4,4,P1(a=2),64.0
Loc(16),4,4,P2,64.0
Loc(16),4,4,P2_mean,64.0
Loc(16),4,4,P3,0.5000000000000014
Loc(16),4,4,P4,0.9999999999999976
Loc(16),4,4,P4_method,solved
Loc(16),4,4,P4-int,64.0
Loc(16),4,4,P5_outdeg,9.0
Loc(16),4,4,P5_persist,0.12121212121212122
Loc(16),4,4,P6,126.55726156257555
Loc(16),4,4,P7(1),100000.00000000001
Loc(16),4,4,P7(2),inf
Loc(16),4,4,P7_method,mc-saturated
Loc(16),4,4,P7_distinct,100000.0
Loc(16),4,4,P7_samples,100000.0
Loc(16),4,4,P8,1.0000000000000036
Loc(16),4,4,P8_min,1.0000000000000036
Loc(16),4,8,P1(a=0),32.0
Loc(16),4,8,P1(a=1),32.0
Loc(16),4,8,P1(a=2),32.0
Loc(16),4,8,P2,32.0
Loc(16),4,8,P2_mean,32.0
Loc(16),4,8,P3,0.5000000000000014
Loc(16),4,8,P4,1.0
Loc(16),4,8,P4_method,solved
Loc(16),4,8,P4-int,32.0
Loc(16),4,8,P5_outdeg,5.0
Loc(16),4,8,P5_persist,0.24242424242424243
Loc(16),4,8,P6,121.07215289270238
Loc(16),4,8,P7(1),100000.00000000001
Loc(16),4,8,P7(2),inf
Loc(16),4,8,P7_method,mc-saturated
Loc(16),4,8,P7_distinct,100000.0
Loc(16),4,8,P7_samples,100000.0
Loc(16),4,8,P8,1.000000000000004
Loc(16),4,8,P8_min,1.0000000000000038
Loc(16),4,16,P1(a=0),16.0
Loc(16),4,16,P1(a=1),15.999999999999996
Loc(16),4,16,P1(a=2),16.0
Loc(16),4,16,P2,16.0
Loc(16),4,16,P2_mean,16.0
Loc(16),4,16,P3,0.5000000000000014
Loc(16),4,16,P4,0.9999999999999999
Loc(16),4,16,P4_method,solved
Loc(16),4,16,P4-int,16.0
Loc(16),4,16,P5_outdeg,3.0
Loc(16),4,16,P5_persist,0.48484848484848475
Loc(16),4,16,P6,110.26079542456637
Loc(16),4,16,P7(1),100000.00000000001
Loc(16),4,16,P7(2),inf
Loc(16),4,16,P7_method,mc-saturated
Loc(16),4,16,P7_distinct,100000.0
Loc(16),4,16,P7_samples,100000.0
Loc(16),4,16,P8,1.000000000000004
Loc(16),4,16,P8_min,1.0000000000000038
Loc(32),5,1,P1(a=0),256.0
Loc(32),5,1,P1(a=1),255.99999999999994
Loc(32),5,1,P1(a=2),256.0
Loc(32),5,1,P2,256.0
Loc(32),5,1,P2_mean,256.0
Loc(32),5,1,P3,0.5000000000000012
Loc(32),5,1,P4,nan
Loc(32),5,1,P4_method,not-solved
Loc(32),5,1,P4-int,0.0
Loc(32),5,1,P5_outdeg,0.0
Loc(32),5,1,P5_persist,0.015384615384615385
Loc(32),5,1,P6,87.73057117337066
Loc(32),5,1,P7(1),6.1177914793931725e+116
Loc(32),5,1,P7(2),1.8461541560303924e+113
Loc(32),5,1,P7_method,closed
Loc(32),5,1,P7_se,0.0
Loc(32),5,1,P8,1.0000000000000027
Loc(32),5,1,P8_min,1.0000000000000022
Loc(32),5,2,P1(a=0),128.0
Loc(32),5,2,P1(a=1),127.99999999999997
Loc(32),5,2,P1(a=2),128.0
Loc(32),5,2,P2,128.0
Loc(32),5,2,P2_mean,128.0
Loc(32),5,2,P3,0.5000000000000012
Loc(32),5,2,P4,nan
Loc(32),5,2,P4_method,not-solved
Loc(32),5,2,P4-int,128.0
Loc(32),5,2,P5_outdeg,33.0
Loc(32),5,2,P5_persist,0.03076923076923077
Loc(32),5,2,P6,86.88080259012906
Loc(32),5,2,P7(1),100000.00000000001
Loc(32),5,2,P7(2),inf
Loc(32),5,2,P7_method,mc-saturated
Loc(32),5,2,P7_distinct,100000.0
Loc(32),5,2,P7_samples,100000.0
Loc(32),5,2,P8,1.0000000000000036
Loc(32),5,2,P8_min,1.0000000000000033
Loc(32),5,4,P1(a=0),64.0
Loc(32),5,4,P1(a=1),63.999999999999986
Loc(32),5,4,P1(a=2),64.0
Loc(32),5,4,P2,64.0
Loc(32),5,4,P2_mean,64.0
Loc(32),5,4,P3,0.5000000000000012
Loc(32),5,4,P4,0.9999999999999998
Loc(32),5,4,P4_method,solved
Loc(32),5,4,P4-int,64.0
Loc(32),5,4,P5_outdeg,17.0
Loc(32),5,4,P5_persist,0.06153846153846154
Loc(32),5,4,P6,85.41670715246903
Loc(32),5,4,P7(1),100000.00000000001
Loc(32),5,4,P7(2),inf
Loc(32),5,4,P7_method,mc-saturated
Loc(32),5,4,P7_distinct,100000.0
Loc(32),5,4,P7_samples,100000.0
Loc(32),5,4,P8,1.0000000000000038
Loc(32),5,4,P8_min,1.0000000000000038
Loc(32),5,8,P1(a=0),32.0
Loc(32),5,8,P1(a=1),32.0
Loc(32),5,8,P1(a=2),32.0
Loc(32),5,8,P2,32.0
Loc(32),5,8,P2_mean,32.0
Loc(32),5,8,P3,0.5000000000000012
Loc(32),5,8,P4,1.0
Loc(32),5,8,P4_method,solved
Loc(32),5,8,P4-int,32.0
Loc(32),5,8,P5_outdeg,9.0
Loc(32),5,8,P5_persist,0.12307692307692308
Loc(32),5,8,P6,82.63195967391806
Loc(32),5,8,P7(1),100000.00000000001
Loc(32),5,8,P7(2),inf
Loc(32),5,8,P7_method,mc-saturated
Loc(32),5,8,P7_distinct,100000.0
Loc(32),5,8,P7_samples,100000.0
Loc(32),5,8,P8,1.0000000000000042
Loc(32),5,8,P8_min,1.000000000000004
Loc(32),5,16,P1(a=0),16.0
Loc(32),5,16,P1(a=1),15.999999999999996
Loc(32),5,16,P1(a=2),16.0
Loc(32),5,16,P2,16.0
Loc(32),5,16,P2_mean,16.0
Loc(32),5,16,P3,0.5000000000000012
Loc(32),5,16,P4,1.0
Loc(32),5,16,P4_method,solved
Loc(32),5,16,P4-int,16.0
Loc(32),5,16,P5_outdeg,5.0
Loc(32),5,16,P5_persist,0.24615384615384617
Loc(32),5,16,P6,77.14311665163365
Loc(32),5,16,P7(1),100000.00000000001
Loc(32),5,16,P7(2),inf
Loc(32),5,16,P7_method,mc-saturated
Loc(32),5,16,P7_distinct,100000.0
Loc(32),5,16,P7_samples,100000.0
Loc(32),5,16,P8,1.000000000000004
Loc(32),5,16,P8_min,1.0000000000000038
Perm(identity),6,1,P1(a=0),256.0
Perm(identity),6,1,P1(a=1),255.99999999999994
Perm(identity),6,1,P1(a=2),256.0
Perm(identity),6,1,P2,256.0
Perm(identity),6,1,P2_mean,256.0
Perm(identity),6,1,P3,0.49999999999999956
Perm(identity),6,1,P4,nan
Perm(identity),6,1,P4_method,not-solved
Perm(identity),6,1,P4-int,256.0
Perm(identity),6,1,P5_outdeg,1.0
Perm(identity),6,1,P5_persist,1.0
Perm(identity),6,1,P6,354.891356446692
Perm(identity),6,1,P7(1),255.99999999999994
Perm(identity),6,1,P7(2),256.0
Perm(identity),6,1,P7_method,enumerate
Perm(identity),6,1,P7_se,0.0
Perm(identity),6,1,P8,1.0000000000000002
Perm(identity),6,1,P8_min,1.0000000000000004
Perm(identity),6,2,P1(a=0),128.0
Perm(identity),6,2,P1(a=1),127.99999999999997
Perm(identity),6,2,P1(a=2),128.0
Perm(identity),6,2,P2,128.0
Perm(identity),6,2,P2_mean,128.0
Perm(identity),6,2,P3,0.49999999999999956
Perm(identity),6,2,P4,nan
Perm(identity),6,2,P4_method,not-solved
Perm(identity),6,2,P4-int,128.0
Perm(identity),6,2,P5_outdeg,1.0
Perm(identity),6,2,P5_persist,1.0
Perm(identity),6,2,P6,310.5299368908555
Perm(identity),6,2,P7(1),127.99999999999996
Perm(identity),6,2,P7(2),128.0
Perm(identity),6,2,P7_method,enumerate
Perm(identity),6,2,P7_se,0.0
Perm(identity),6,2,P8,1.0000000000000002
Perm(identity),6,2,P8_min,1.0000000000000004
Perm(identity),6,4,P1(a=0),64.0
Perm(identity),6,4,P1(a=1),63.999999999999986
Perm(identity),6,4,P1(a=2),64.0
Perm(identity),6,4,P2,64.0
Perm(identity),6,4,P2_mean,64.0
Perm(identity),6,4,P3,0.49999999999999956
Perm(identity),6,4,P4,1.0
Perm(identity),6,4,P4_method,solved
Perm(identity),6,4,P4-int,64.0
Perm(identity),6,4,P5_outdeg,1.0
Perm(identity),6,4,P5_persist,1.0
Perm(identity),6,4,P6,266.168517335019
Perm(identity),6,4,P7(1),63.99999999999998
Perm(identity),6,4,P7(2),64.0
Perm(identity),6,4,P7_method,enumerate
Perm(identity),6,4,P7_se,0.0
Perm(identity),6,4,P8,1.0000000000000002
Perm(identity),6,4,P8_min,1.0000000000000004
Perm(identity),6,8,P1(a=0),32.0
Perm(identity),6,8,P1(a=1),32.0
Perm(identity),6,8,P1(a=2),32.0
Perm(identity),6,8,P2,32.0
Perm(identity),6,8,P2_mean,32.0
Perm(identity),6,8,P3,0.49999999999999956
Perm(identity),6,8,P4,1.0
Perm(identity),6,8,P4_method,solved
Perm(identity),6,8,P4-int,32.0
Perm(identity),6,8,P5_outdeg,1.0
Perm(identity),6,8,P5_persist,1.0
Perm(identity),6,8,P6,221.8070977791825
Perm(identity),6,8,P7(1),32.0
Perm(identity),6,8,P7(2),32.0
Perm(identity),6,8,P7_method,enumerate
Perm(identity),6,8,P7_se,0.0
Perm(identity),6,8,P8,1.0000000000000004
Perm(identity),6,8,P8_min,1.0000000000000004
Perm(identity),6,16,P1(a=0),16.0
Perm(identity),6,16,P1(a=1),15.999999999999996
Perm(identity),6,16,P1(a=2),16.0
Perm(identity),6,16,P2,16.0
Perm(identity),6,16,P2_mean,16.0
Perm(identity),6,16,P3,0.49999999999999956
Perm(identity),6,16,P4,1.0
